NumberOfPixels,BoundingBoxTopLeftX,BoundingBoxTopLeftY,BoundingBoxBottomRightX,BoundingBoxBottomRightY,PhysicalSize,NumberOfPixelsOnBorder,FeretDiameter,PrincipalMoments0,PrincipalMoments1,Elongation,Perimeter,Roundness,EquivalentSphericalRadius,EquivalentSphericalPerimeter,EquivalentEllipsoidDiameter0,EquivalentEllipsoidDiameter1,Flatness,MeanR,MeanG,MeanB,StdR,StdG,StdB,Polygon
200,456,162,470,185,200,0,0,7.49869,36.1019,2.19418,59.6046,0.841086,7.97885,50.1326,10.7729,23.6377,2.19418,118.595,51.72,124.67,26.5852,15.7112,15.1149,[463:163:460:164:457:175:458:185:464:181:470:166]
442,69,368,108,411,442,0,0,8.70065,206.693,4.87402,131.871,0.565155,11.8614,74.5274,10.7454,52.3733,4.87402,128.735,65.2805,138.742,26.0952,17.572,16.3389,[107:369:104:369:70:405:71:409:84:409:86:402:95:392:92:388:101:388:99:381]
347,104,403,131,423,347,0,0,21.2732,47.7755,1.4986,82.8181,0.797342,10.5097,66.0343,17.1703,25.7314,1.4986,138.519,70.2911,139.951,30.1794,26.8677,22.0862,[131:416:121:415:119:404:109:406:105:411:105:420:108:423:123:423:131:419]
360,224,34,252,55,360,0,0,22.3907,44.6075,1.41146,87.5304,0.768417,10.7047,67.2599,18.0207,25.4355,1.41146,137.653,73.4194,143.744,34.5372,27.192,25.4456,[225:40:233:55:239:55:244:50:248:54:252:53:245:48:249:42:246:39:229:35]
253,0,64,13,89,253,25,0,10.7804,41.7208,1.96725,65.0629,0.866627,8.97398,56.3852,12.7963,25.1736,1.96725,146.731,82.5573,152.751,25.8458,22.6538,18.4998,[1:65:1:89:6:89:13:79:13:74:8:66]
221,475,1,496,17,221,0,0,12.6305,26.8279,1.45742,60.1599,0.875979,8.38728,52.6988,13.895,20.2508,1.45742,150.109,89.448,156.063,49.3078,45.2021,35.2488,[476:12:484:17:491:13:496:2:480:2]
448,456,24,479,53,448,0,0,25.2031,53.4563,1.45637,82.7228,0.907024,11.9416,75.0316,19.7905,28.8224,1.45637,141.804,75.0513,144.301,35.0574,29.2306,27.4993,[475:25:461:33:457:41:460:51:472:53:476:48:475:44:479:37]
288,369,0,390,18,288,14,0,16.8826,31.5927,1.36796,62.8414,0.957316,9.57461,60.1591,16.3725,22.3969,1.36796,136.097,74.4757,144.753,38.1536,33.4666,30.7944,[389:1:376:1:371:7:371:15:376:18:383:17:390:7]
500,315,438,342,468,500,0,0,31.0579,60.2971,1.39336,89.1965,0.888673,12.6157,79.2665,21.3751,29.7832,1.39336,148.12,80.996,151.534,27.7179,23.4346,18.9918,[322:439:316:446:323:468:330:468:334:463:341:461:342:454:334:450:327:440]
351,287,446,317,466,351,0,0,15.0363,61.6317,2.02457,84.1588,0.789149,10.5701,66.4138,14.8574,30.0798,2.02457,148.786,79.7123,150.593,31.9444,24.4745,19.8661,[317:449:298:449:288:463:303:466:309:456:317:456]
483,305,463,328,499,483,0,0,23.7178,78.9956,1.82501,106.166,0.733824,12.3993,77.9074,18.3568,33.5012,1.82501,105.646,48.1263,119.567,31.2071,16.9018,21.6406,[319:464:306:468:307:499:318:493:322:486:320:481:328:475:318:470:321:468]
893,264,465,305,500,893,38,0,57.3349,114.992,1.4162,123.557,0.857362,16.8597,105.933,28.3347,40.1276,1.4162,124.636,59.009,131.791,34.7704,23.1469,22.8025,[300:470:296:466:288:469:278:486:269:492:265:500:302:500:305:485]
1031,314,463,357,500,1031,43,0,81.6842,106.549,1.1421,134.473,0.846444,18.1157,113.824,33.9025,38.7201,1.1421,135.567,76.452,145.435,41.0348,38.1566,31.7955,[350:470:341:464:333:465:326:491:315:500:357:500:357:485]
399,270,230,295,251,399,0,0,26.5949,38.6897,1.20614,75.2336,0.941195,11.2697,70.8095,20.5231,24.7537,1.20614,151.088,83.4712,152.208,38.9831,31.423,27.3495,[272:234:272:244:279:251:286:251:295:245:293:236:285:231:276:231]
377,94,323,116,350,377,0,0,18.0884,53.9751,1.72742,77.8198,0.884475,10.9546,68.8297,16.6697,28.7955,1.72742,142.653,70.9125,144.687,25.7992,17.7959,17.3119,[113:324:96:332:97:349:104:349:116:334:116:327]
466,15,0,40,27,466,4,0,34.8154,40.9129,1.08404,80.8267,0.946767,12.1792,76.524,23.3952,25.3612,1.08404,120.105,59.2124,131.661,34.8063,22.2806,21.6897,[31:1:18:6:16:10:19:20:25:27:40:19:39:12]
532,20,24,44,58,532,0,0,24.7322,84.7426,1.85106,94.4248,0.865914,13.0131,81.7637,19.1294,35.4096,1.85106,116.786,58.6353,129.207,36.6881,25.1151,23.345,[31:25:21:36:24:51:29:57:44:57:38:45:38:30:36:26]
286,41,0,62,21,286,10,0,21.617,28.3792,1.14578,70.1959,0.854036,9.54131,59.9498,17.8273,20.4263,1.14578,115.217,59.8182,133.091,40.3859,26.2202,22.9441,[43:1:43:16:55:21:57:8:62:2]
553,192,0,246,17,553,40,0,16.2756,145.539,2.99034,117.408,0.710017,13.2675,83.3619,15.3447,45.8857,2.99034,143.456,82.0633,150.434,38.6258,33.1215,29.4833,[193:9:225:17:246:1:207:1:195:5]
