NumberOfPixels,BoundingBoxTopLeftX,BoundingBoxTopLeftY,BoundingBoxBottomRightX,BoundingBoxBottomRightY,PhysicalSize,NumberOfPixelsOnBorder,FeretDiameter,PrincipalMoments0,PrincipalMoments1,Elongation,Perimeter,Roundness,EquivalentSphericalRadius,EquivalentSphericalPerimeter,EquivalentEllipsoidDiameter0,EquivalentEllipsoidDiameter1,Flatness,MeanR,MeanG,MeanB,StdR,StdG,StdB,Polygon
581,21,0,41,57,581,4,0,20.8107,211.227,3.1859,172.8,0.494481,13.5992,85.4462,15.238,48.5466,3.1859,103.484,50.6248,122.466,29.1973,20.6666,20.4857,[30:1:26:5:37:15:24:15:26:29:22:39:25:41:30:32:33:34:33:55:38:57:41:53:37:40:40:14:33:1]
201,42,0,61,16,201,13,0,13.1821,26.0883,1.40679,63.9522,0.785865,7.99877,50.2577,13.4877,18.9744,1.40679,95.7015,46.3632,121.333,28.5584,15.1419,15.0178,[43:14:47:16:55:13:61:1:55:1:53:5:49:1:44:1]
444,81,0,105,28,444,10,0,22.7661,62.2521,1.65361,87.3957,0.854686,11.8882,74.6958,18.4897,30.5748,1.65361,90.509,43.0833,115.937,25.8381,17.4139,21.2443,[105:1:86:1:86:10:82:15:82:23:86:28:91:28:97:23]
440,401,0,429,34,440,10,0,15.4239,102.384,2.57643,111.069,0.66948,11.8345,74.3586,14.7459,37.9919,2.57643,104.082,49.0591,122.164,32.4329,20.6029,23.5522,[429:1:422:9:420:1:414:1:402:34:418:26]
151,476,0,497,17,151,12,0,16.25,37.7558,1.52428,85.4043,0.510051,6.93288,43.5606,11.2308,17.1189,1.52428,118.629,62.0795,135.848,26.9578,21.6986,19.5864,[497:1:491:1:490:9:486:13:481:11:481:6:486:1:482:1:477:9:481:17:489:14]
322,175,14,195,45,322,0,0,12.2508,65.2283,2.30747,83.2781,0.763839,10.124,63.6111,13.3295,30.7575,2.30747,108.686,53.2919,125.239,24.8172,18.0761,19.3792,[191:15:189:24:180:25:178:28:178:45:183:44:192:34:195:22]
329,109,24,127,54,329,0,0,14.2429,62.9943,2.10306,79.4859,0.808934,10.2335,64.2988,14.1132,29.681,2.10306,73.4316,35.2675,104.03,21.1982,13.1191,16.5196,[117:25:110:31:116:38:115:48:122:54:127:32:124:26]
113,467,25,479,38,113,0,0,6.58031,12.3468,1.36979,37.9618,0.992652,5.99742,37.6829,10.2487,14.0385,1.36979,104.062,45.8319,117.124,20.572,12.4871,18.1665,[477:27:473:26:468:31:470:38:479:32]
115,226,35,238,50,115,0,0,6.69494,13.5334,1.42177,41.1987,0.92272,6.05026,38.0149,10.1482,14.4284,1.42177,113.452,55.8696,125.913,26.6645,17.0577,17.5185,[230:36:227:41:233:50:238:39]
190,384,40,396,62,190,0,0,7.62067,31.5202,2.03375,54.4716,0.89704,7.77682,48.8632,10.9064,22.181,2.03375,85.7474,37.2579,107.868,19.7921,10.944,13.1912,[388:41:385:44:386:54:392:62:396:54:395:43]
292,325,42,344,77,292,0,0,10.9037,104.051,3.08913,92.2034,0.656976,9.64088,60.5754,10.9705,33.8895,3.08913,109.568,55.5377,128.106,22.5329,15.2873,16.8657,[343:43:330:49:327:55:326:69:331:77:334:77:332:57:341:51]
833,189,56,221,95,833,0,0,58.6893,93.617,1.26298,124.017,0.824987,16.2835,102.312,28.9787,36.5996,1.26298,110.624,52.3974,124.226,31.0828,22.7065,22.3756,[195:58:190:66:193:90:198:95:215:92:221:81:221:73:213:67:204:73:201:59]
675,345,57,371,105,675,0,0,36.2088,153.566,2.0594,140.891,0.653691,14.6581,92.0994,20.4285,42.0704,2.0594,114.519,55.157,129.372,27.7187,18.5048,20.2467,[350:58:350:79:355:86:346:95:356:105:361:105:371:94:371:78:368:77:361:82:356:74:360:63]
323,18,62,39,91,323,0,0,18.5938,50.3624,1.64577,81.382,0.782849,10.1397,63.7098,15.8078,26.016,1.64577,120.505,61.2074,133.526,34.1143,22.4262,21.4049,[23:63:19:72:25:79:26:86:33:91:31:79:39:73:31:64]
186,116,66,136,83,186,0,0,9.90989,29.6698,1.73031,59.6046,0.811114,7.69452,48.3461,11.699,20.2429,1.73031,114.785,55.7151,129.237,28.8214,15.7995,18.5106,[136:69:129:68:126:75:117:80:124:83:134:80]
190,264,89,286,102,190,0,0,9.40374,29.7336,1.77817,57.1531,0.854953,7.77682,48.8632,11.6639,20.7405,1.77817,114.811,54.3684,125.532,29.9089,20.7324,21.6872,[265:97:269:101:278:102:286:93:268:90]
861,75,92,118,135,861,0,0,49.9157,129.025,1.60775,147.5,0.705205,16.5549,104.018,26.1125,41.9822,1.60775,111.935,54.8931,127.056,33.1754,20.754,21.7024,[109:93:104:96:98:108:91:104:76:119:78:121:85:116:90:119:87:128:90:135:97:132:105:122:116:118:118:107]
165,389,99,403,115,165,0,0,9.50785,18.5352,1.39623,46.3317,0.982808,7.24715,45.5352,12.2664,17.1268,1.39623,96.2242,48.9455,122.309,19.5533,13.2506,17.6325,[400:100:390:108:393:115:402:112:403:103]
817,125,121,166,155,817,0,0,73.9668,95.0463,1.13357,156.52,0.647359,16.1264,101.325,30.2929,34.3392,1.13357,111.277,52.5275,125.638,28.2099,18.3528,19.3005,[130:124:126:130:126:140:138:153:145:155:153:152:166:140:162:136:153:147:148:147:145:144:149:139:148:133:152:128:158:128:158:125:154:122]
965,318,123,365,181,965,0,0,30.4401,378.49,3.52618,187.453,0.587457,17.5262,110.121,18.6667,65.8219,3.52618,97.0114,41.2528,112.498,25.8768,15.9728,20.9892,[358:124:349:124:344:128:338:139:337:148:321:162:319:177:323:181:338:177:339:174:327:170:347:148:353:150:363:143:360:142:365:131]
124,284,124,297,136,124,0,0,9.11046,10.6858,1.08301,39.0726,1.01028,6.28255,39.4744,12.074,13.0762,1.08301,106.927,50.371,120.895,20.107,11.3247,13.93,[287:126:286:134:294:136:297:129:293:125]
287,0,131,18,151,287,12,0,17.4078,30.8694,1.33166,62.6114,0.959163,9.55798,60.0545,16.5653,22.0593,1.33166,65.439,32.8746,97.0592,25.0429,18.0816,24.3376,[15:132:9:132:1:138:1:149:15:149:18:142]
279,459,139,478,175,279,0,0,5.42308,103.122,4.36067,87.8558,0.673964,9.42382,59.2116,9.02569,39.3581,4.36067,115.556,56.1828,131.566,27.8809,16.0181,17.0395,[476:140:473:147:465:153:466:160:461:164:461:175:466:173:476:153]
