NumberOfPixels,BoundingBoxTopLeftX,BoundingBoxTopLeftY,BoundingBoxBottomRightX,BoundingBoxBottomRightY,PhysicalSize,NumberOfPixelsOnBorder,FeretDiameter,PrincipalMoments0,PrincipalMoments1,Elongation,Perimeter,Roundness,EquivalentSphericalRadius,EquivalentSphericalPerimeter,EquivalentEllipsoidDiameter0,EquivalentEllipsoidDiameter1,Flatness,MeanR,MeanG,MeanB,StdR,StdG,StdB,Polygon
987,20,0,62,58,987,24,0,68.9084,268.226,1.97294,243.226,0.457882,17.7249,111.369,25.2381,49.7933,1.97294,111.009,55.8734,127.498,36.1628,28.0027,23.9805,[62:1:54:1:53:4:50:1:43:1:41:14:34:1:28:1:25:5:36:15:23:15:25:29:21:39:25:42:28:35:32:34:31:48:35:58:42:53:38:40:41:15:47:17:55:14]
517,80,0,106,29,517,14,0,27.1123,68.9784,1.59505,91.1879,0.88392,12.8283,80.6028,20.3149,32.4031,1.59505,100.698,49.8511,121.809,35.8588,24.6924,25.5752,[106:1:85:1:81:23:86:29:91:29:98:23]
72,206,0,216,10,72,7,0,3.73882,9.00771,1.55217,31.8134,0.945499,4.78731,30.0795,7.68513,11.9286,1.55217,106.583,48.5556,116.75,14.9562,11.8402,14.23,[216:1:210:1:207:9:211:10]
100,228,0,250,10,100,17,0,3.07613,31.7351,3.21194,52.5754,0.674252,5.6419,35.4491,6.2961,20.2227,3.21194,122.97,68.02,139.42,35.712,28.7183,28.161,[229:9:232:10:239:4:250:1:234:1]
60,251,0,267,5,60,16,0,1.88889,13.9167,2.71434,34.2649,0.801366,4.37019,27.4587,5.30516,14.4,2.71434,130.583,70,142.65,25.9251,25.4552,25.356,[252:1:256:5:263:5:267:1]
55,293,0,309,5,55,16,0,1.80879,12.9608,2.67684,34.2649,0.76725,4.18414,26.2897,5.11476,13.6914,2.67684,118.509,58.6,131.636,16.9779,14.2454,17.3806,[294:1:299:5:309:1]
121,374,0,390,10,121,16,0,6.11928,17.1688,1.67502,43.1901,0.902845,6.20609,38.994,9.59043,16.0641,1.67502,116.289,59.5537,132.727,34.9388,30.0124,31.1231,[375:1:375:5:384:10:389:7:390:1]
533,400,0,430,35,533,14,0,18.6893,114.269,2.47268,114.862,0.712515,13.0253,81.8405,16.5667,40.964,2.47268,110.976,52.5797,125.55,34.5173,21.3577,23.9424,[430:1:426:1:422:8:421:1:413:1:401:31:402:35:414:31:419:26]
219,475,0,498,18,219,17,0,18.3882,38.1798,1.44095,89.7519,0.584499,8.34924,52.4598,13.9108,20.0448,1.44095,131.863,70.5068,140.909,35.0928,29.7158,25.0056,[477:14:481:18:486:17:498:1:490:1:486:12:482:11:482:6:487:1:480:1:476:9]
399,174,13,196,46,399,0,0,15.5274,74.1229,2.18488,88.6412,0.798833,11.2697,70.8095,15.2485,33.3162,2.18488,115.298,58.3358,130.08,29.4641,22.9435,22.9864,[191:14:188:16:188:24:180:24:177:28:175:42:178:46:185:43:196:27]
402,108,23,128,55,402,0,0,17.9139,70.0626,1.97764,84.8489,0.837667,11.312,71.0752,16.0877,31.8157,1.97764,84.3184,40.7338,109.017,31.1835,18.8825,19.9844,[117:24:109:31:115:38:114:48:122:55:125:52:124:43:128:32:124:25]
148,466,24,480,39,148,0,0,8.94102,15.6758,1.3241,43.3249,0.995402,6.86366,43.1257,11.9296,15.796,1.3241,109.716,49.1622,119.527,24.0885,15.0275,18.4982,[475:25:467:31:470:39:475:38:480:32]
153,225,34,239,51,153,0,0,9.34946,16.7582,1.33881,46.5618,0.941719,6.97864,43.8481,12.0626,16.1496,1.33881,121.438,62.4052,132.026,30.8068,22.7376,22.1881,[230:35:226:41:233:51:239:39]
242,383,39,397,63,242,0,0,10.5645,36.3779,1.85564,59.8346,0.921638,8.77673,55.1458,12.8859,23.9117,1.85564,94.686,42.7355,113.397,26.8867,16.1346,17.4292,[388:40:384:44:385:54:392:63:396:60:396:43]
378,324,41,345,78,378,0,0,14.0891,112.098,2.8207,97.5664,0.7064,10.9691,68.9209,13.0624,36.8451,2.8207,117.262,60.3915,132.119,27.7638,18.9202,19.5257,[343:42:330:48:326:55:326:74:331:78:335:77:333:57:345:47]
92,76,43,86,56,92,0,0,4.85217,11.1061,1.51291,34.725,0.979167,5.41152,34.0016,8.79918,13.3124,1.51291,119.087,63.6522,137.793,25.8758,15.5685,17.5534,[79:44:77:51:83:56:86:51]
947,188,55,222,96,947,0,0,65.5206,102.697,1.25196,132.061,0.826046,17.362,109.089,31.0338,38.8531,1.25196,115.124,55.6114,127.277,33.092,24.6777,24.1791,[195:57:189:66:192:90:198:96:215:93:220:87:222:73:213:66:204:72:202:59:199:56]
802,344,56,372,106,802,0,0,41.3364,165.2,1.99912,146.254,0.68641,15.9776,100.39,22.6007,45.1816,1.99912,119.059,58.0586,131.938,30.3339,20.7985,21.5992,[350:57:349:79:354:86:345:95:356:106:361:106:372:94:372:78:368:76:361:81:357:74:361:63]
396,17,61,40,92,396,0,0,22.553,59.2224,1.62047,91.3227,0.772456,11.2272,70.5428,17.6393,28.584,1.62047,125.879,66.0177,137.652,34.832,25.2735,23.2876,[23:62:18:72:24:79:25:86:33:92:32:79:40:73:31:63]
243,115,65,137,84,243,0,0,12.9867,36.1328,1.66802,64.9676,0.850572,8.79485,55.2596,13.6194,22.7174,1.66802,120.667,60.214,132.885,31.0926,19.6721,20.6147,[137:69:134:66:129:67:125:75:117:77:116:80:124:84:134:81:137:78]
244,263,88,287,103,244,0,0,12.5131,34.9993,1.67243,62.5161,0.885743,8.81292,55.3732,13.6294,22.7942,1.67243,118.119,56.6844,127.955,30.789,21.6514,22.5776,[264:97:269:102:278:103:287:93:268:89]
990,74,91,119,136,990,0,0,56.5799,141.597,1.58196,152.863,0.72966,17.7518,111.538,28.2276,44.6551,1.58196,116.689,58.6727,130.127,35.5828,24.5442,23.5922,[109:92:103:96:98:107:91:103:75:119:77:122:85:117:89:119:86:133:90:136:97:133:105:123:117:118:119:107]
208,388,98,404,116,208,0,0,12.4861,22.4077,1.33963,51.6948,0.988986,8.13686,51.1254,14.0603,18.8356,1.33963,101.601,50.851,122.409,21.3291,14.011,16.8355,[400:99:389:108:393:116:403:112:404:103]
939,124,120,167,156,939,0,0,82.2089,107.45,1.14326,178.068,0.610032,17.2885,108.627,32.3382,36.9709,1.14326,114.904,55.2886,128.122,29.6548,20.5805,20.6885,[130:123:125:130:125:140:138:154:145:156:153:153:167:140:162:135:153:146:148:146:146:143:150:139:150:131:158:129:159:125:154:121]
1131,317,122,366,182,1131,0,0,36.1294,394.621,3.30491,193.832,0.615052,18.9739,119.216,20.874,68.9869,3.30491,103.438,45.2838,116.735,30.9458,20.1097,24.0452,[358:123:348:123:337:139:336:148:320:162:318:177:323:182:339:177:339:173:328:170:347:149:353:151:364:143:362:141:366:131]
161,283,123,298,137,161,0,0,11.9741,13.7401,1.07121,44.4356,1.01225,7.15876,44.9798,13.8335,14.8185,1.07121,109.398,52.6522,123.832,20.8828,12.7938,15.2923,[287:125:284:128:285:134:294:137:298:129:293:124]
336,0,130,19,152,336,14,0,20.4185,35.7009,1.32229,67.189,0.967111,10.3418,64.9792,17.9871,23.7842,1.32229,78.1012,41.3661,105.155,39.9755,31.0153,32.0989,[15:131:9:131:1:137:1:150:4:152:16:149:19:137]
113,486,134,500,151,113,6,0,3.08522,27.3297,2.97628,46.5618,0.80931,5.99742,37.6829,6.95276,20.6934,2.97628,124.071,67.9912,134.071,41.4442,40.3271,38.5986,[500:135:490:143:488:151:499:143]
365,458,138,481,176,365,0,0,8.34621,113.454,3.68694,99.3672,0.681566,10.7788,67.7254,11.2271,41.3937,3.68694,123.307,60.8137,135.433,31.1741,19.1089,19.0126,[476:139:472:147:464:153:465:160:459:168:461:176:467:173:477:151:481:150]
307,45,163,65,186,307,0,0,22.1445,33.8187,1.23579,71.6714,0.866619,9.8854,62.1118,17.7849,21.9784,1.23579,110.3,56.2997,127.391,34.5072,22.8645,23.9388,[60:165:52:167:46:181:47:186:53:182:60:185:64:183:65:173]
749,0,165,19,225,749,51,0,18.9152,236.435,3.5355,149.222,0.650151,15.4407,97.0166,16.4237,58.0659,3.5355,111.49,52.8371,125.801,33.7979,22.2412,21.9357,[1:166:1:171:7:174:1:181:2:225:17:203:13:194:19:173]
368,93,172,128,197,368,0,0,24.7834,78.9247,1.78454,113.886,0.597118,10.823,68.0031,16.2038,28.9162,1.78454,125.236,62.2908,133.701,26.5262,18.5946,18.1185,[128:182:122:174:116:173:111:186:107:186:101:178:94:185:97:183:100:191:111:197:119:182:126:185]
