NumberOfPixels,BoundingBoxTopLeftX,BoundingBoxTopLeftY,BoundingBoxBottomRightX,BoundingBoxBottomRightY,PhysicalSize,NumberOfPixelsOnBorder,FeretDiameter,PrincipalMoments0,PrincipalMoments1,Elongation,Perimeter,Roundness,EquivalentSphericalRadius,EquivalentSphericalPerimeter,EquivalentEllipsoidDiameter0,EquivalentEllipsoidDiameter1,Flatness,MeanR,MeanG,MeanB,StdR,StdG,StdB,Polygon
8684,0,0,209,157,8684,68,0,563.239,3630.62,2.53889,1051.95,0.314028,52.5757,330.343,65.9922,167.547,2.53889,142.831,78.1287,146.557,39.5601,33.4452,27.5282,[1:14:1:19:20:23:23:31:15:41:17:48:28:58:41:58:44:62:42:71:26:61:20:62:17:66:18:76:37:108:47:118:53:119:58:125:65:124:66:128:68:126:85:140:98:139:102:134:103:125:107:124:118:133:135:155:143:157:155:152:165:142:173:142:186:129:200:131:209:126:206:121:194:121:169:128:150:121:137:108:135:90:130:94:132:113:119:115:119:106:109:90:95:87:77:75:75:79:89:89:89:94:78:103:72:113:57:111:47:99:47:89:51:84:61:82:64:76:58:74:52:77:51:74:64:62:77:62:87:53:91:58:98:47:95:42:79:36:70:40:57:58:50:57:40:48:39:23:42:19:54:20:71:12:76:4:82:1:54:1:52:4:50:1:17:1:8:13]
564,79,0,106,29,564,19,0,32.5117,67.3243,1.43902,92.7587,0.90759,13.3988,84.1869,22.3389,32.1461,1.43902,107.713,54.4752,126.257,42.0779,28.6542,28.9835,[106:1:85:1:81:8:80:20:86:29:92:29:98:23]
4,117,0,120,2,4,3,0,0.1875,0.5,1.63299,7.25915,0.976673,1.12838,7.08982,1.76601,2.88388,1.63299,190.25,123.5,182.5,9.4174,11.1467,10.6184,[118:1]
5159,107,0,269,84,5159,112,0,334.825,2445.64,2.70263,739.388,0.344362,40.5236,254.617,49.2997,133.239,2.70263,146.911,82.4107,149.886,39.6516,33.6208,28.9423,[110:70:117:82:128:84:137:78:137:65:131:58:131:52:139:35:128:31:128:14:131:11:145:9:158:3:171:9:164:19:165:33:152:37:155:48:163:57:170:46:184:45:196:27:226:17:240:4:251:8:257:7:260:11:255:17:244:17:241:20:244:25:254:27:250:37:240:38:229:34:222:38:227:47:237:54:249:47:269:19:267:1:210:1:192:10:184:8:181:1:128:1:116:13:108:29:110:49:115:56:110:63]
279,285,0,319,10,279,33,0,7.01816,75.6953,3.28415,75.0988,0.78845,9.42382,59.2116,10.4003,34.1561,3.28415,144.326,88.1362,154.792,35.2972,34.224,29.1158,[286:4:290:9:308:10:314:8:319:1:287:1]
3638,350,0,436,137,3638,61,0,228.544,1402.72,2.47742,545.31,0.392096,34.0296,213.814,43.2401,107.124,2.47742,141.98,70.8557,141.924,37.6503,26.1922,24.7013,[436:1:401:1:403:13:391:22:390:1:375:1:372:9:362:14:359:1:351:1:354:2:358:13:374:22:379:36:376:46:392:64:399:61:403:64:398:77:389:84:376:112:380:115:385:111:386:114:373:130:374:137:381:132:386:121:394:121:403:113:404:102:397:97:397:90:410:63:413:47:417:46:415:43:420:37:420:22:429:8:428:16:432:16]
11,453,0,460,2,11,7,0,0.231405,3.45455,3.86375,15.629,0.752262,1.87121,11.7571,1.90391,7.35624,3.86375,167.727,89.2727,155.636,12.4834,13.053,11.8726,[454:1:460:1]
10,462,0,466,3,10,4,0,0.56,1.05,1.36931,11.0514,1.01435,1.78412,11.21,3.04933,4.17547,1.36931,159.7,92.3,169,30.9905,25.0761,18.1604,[463:1:466:2]
4,468,0,471,2,4,3,0,0.1875,0.5,1.63299,7.25915,0.976673,1.12838,7.08982,1.76601,2.88388,1.63299,200,134.25,191.25,7.14143,12.872,4.08503,[469:1]
1391,455,0,500,74,1391,25,0,39.4083,490.289,3.52722,218.021,0.606415,21.0421,132.211,22.408,79.0378,3.52722,150.888,80.7613,148.825,32.58,28.4535,25.7851,[498:1:490:1:486:10:483:6:488:1:477:1:476:20:462:32:456:44:456:57:461:63:460:72:469:73:477:60:476:43:479:34:500:9]
5,1,3,4,6,5,0,0,0.4,0.4,1,8.04455,0.985345,1.26157,7.92665,2.52313,2.52313,1,196.2,140.4,195.6,3.54401,6.71118,2.87054,[3:4]
5,348,3,351,6,5,0,0,0.4,0.4,1,8.04455,0.985345,1.26157,7.92665,2.52313,2.52313,1,163,79.6,152.2,8.39047,7.00286,9.01998,[350:4]
5,442,7,445,10,5,0,0,0.4,0.4,1,8.04455,0.985345,1.26157,7.92665,2.52313,2.52313,1,178.6,113,173.2,6.2482,7.07107,7.30479,[444:8]
5,285,12,288,15,5,0,0,0.4,0.4,1,8.04455,0.985345,1.26157,7.92665,2.52313,2.52313,1,194.4,134.8,182.2,6.28013,10.4957,7.70454,[287:13]
1,446,13,447,14,1,0,0,0,0,0,2.68152,1.32198,0.56419,3.54491,0,0,0,207,152,213,0,0,0,[447:14]
5,107,14,110,17,5,0,0,0.4,0.4,1,8.04455,0.985345,1.26157,7.92665,2.52313,2.52313,1,172,87.4,149.4,5.76194,11.3947,5.004,[109:15]
5,323,16,326,19,5,0,0,0.4,0.4,1,8.04455,0.985345,1.26157,7.92665,2.52313,2.52313,1,180.2,101.4,162.2,7.67854,10.6132,8.86341,[325:17]
1,76,17,77,18,1,0,0,0,0,0,2.68152,1.32198,0.56419,3.54491,0,0,0,185,120,192,0,0,0,[77:18]
23,337,20,343,26,23,0,0,1.7051,2,1.08303,17.1998,0.988428,2.70576,17.0008,5.19995,5.63169,1.08303,159.304,81.2174,150.87,21.0805,19.1991,22.6875,[341:21:338:23:340:26:343:24]
5,281,21,284,24,5,0,0,0.4,0.4,1,8.04455,0.985345,1.26157,7.92665,2.52313,2.52313,1,190.8,123,179.6,4.35431,5.76194,1.35647,[283:22]
1,131,24,132,25,1,0,0,0,0,0,2.68152,1.32198,0.56419,3.54491,0,0,0,187,122,190,0,0,0,[132:25]
5,202,26,205,29,5,0,0,0.4,0.4,1,8.04455,0.985345,1.26157,7.92665,2.52313,2.52313,1,205.6,146.2,204.2,3.92938,6.24179,3.42929,[204:27]
6,311,26,314,29,6,0,0,0.333333,0.611111,1.35401,8.59991,1.00969,1.38198,8.68322,2.37531,3.21619,1.35401,158.167,99.8333,162.333,12.2122,15.0932,14.9183,[313:27:314:29]
5,427,26,430,29,5,0,0,0.4,0.4,1,8.04455,0.985345,1.26157,7.92665,2.52313,2.52313,1,189.6,110,175,3.44093,3.94968,1.09545,[429:27]
5,214,28,217,31,5,0,0,0.4,0.4,1,8.04455,0.985345,1.26157,7.92665,2.52313,2.52313,1,201.6,145.4,202.6,2.6533,6.46838,3.82623,[216:29]
5,227,29,230,32,5,0,0,0.4,0.4,1,8.04455,0.985345,1.26157,7.92665,2.52313,2.52313,1,176.6,130.8,194.2,10.1311,13.0445,8.86341,[229:30]
1,239,29,240,30,1,0,0,0,0,0,2.68152,1.32198,0.56419,3.54491,0,0,0,187,134,193,0,0,0,[240:30]
2810,187,31,305,96,2810,0,0,95.9126,1537.72,4.00406,329.876,0.56965,29.9074,187.914,29.8922,119.69,4.00406,142.752,76.8779,145.594,37.4637,30.3905,26.8194,[302:48:294:36:287:32:283:42:269:59:256:56:241:65:219:67:207:57:196:56:189:66:188:84:199:96:222:94:231:85:234:77:248:66:261:66:292:79:295:68:305:62]
5,345,32,348,35,5,0,0,0.4,0.4,1,8.04455,0.985345,1.26157,7.92665,2.52313,2.52313,1,203.2,150,201.6,9.38936,32.1683,12.6428,[347:33]
53629,0,33,379,500,53629,155,0,4213.27,19589.7,2.15628,5031.09,0.163171,130.655,820.927,177.952,383.713,2.15628,137.023,71.6385,141.194,42.257,31.9155,28.8035,[356:34:333:46:325:58:316:64:315:77:304:86:308:92:337:97:350:109:352:114:349:118:332:121:326:126:314:105:313:98:309:95:288:104:285:98:290:89:279:77:271:79:255:95:253:111:256:114:271:115:261:133:259:145:264:148:270:139:276:140:283:147:280:156:284:160:295:158:298:155:297:147:314:143:326:129:337:126:343:128:331:150:304:184:295:189:290:196:291:201:298:195:305:201:296:221:278:221:258:243:253:242:247:235:249:226:265:213:275:211:286:194:286:189:273:179:258:178:242:190:239:210:243:228:234:239:233:248:242:255:258:253:275:262:272:275:257:290:254:298:254:281:260:273:260:266:255:260:248:259:234:269:212:305:199:305:197:297:221:279:218:273:214:273:204:284:201:283:209:272:209:259:202:257:183:261:174:254:164:253:145:260:142:246:121:218:124:208:113:212:100:204:92:204:87:209:83:222:71:221:67:206:67:177:56:149:32:141:16:131:9:131:1:137:2:151:12:152:22:143:44:157:51:166:44:186:47:197:46:210:34:214:30:219:34:235:33:250:13:270:8:271:1:266:1:287:6:289:11:285:17:292:16:306:7:322:16:340:9:349:1:351:1:365:9:366:23:360:24:357:16:352:23:337:37:335:46:327:46:307:38:291:41:279:50:272:59:272:68:276:75:287:72:301:65:313:53:320:49:327:52:333:65:341:71:355:70:362:65:368:55:370:53:353:47:352:40:358:31:359:26:363:26:385:33:395:28:406:30:414:25:414:24:406:19:400:12:399:9:402:7:413:1:422:1:472:7:466:7:453:10:448:19:462:29:461:34:456:40:438:35:426:46:437:73:436:76:440:74:449:77:452:88:453:78:464:65:462:38:472:25:486:19:500:82:500:81:493:89:481:91:460:94:456:100:467:107:465:112:470:116:470:127:458:127:470:120:488:125:492:130:491:145:462:144:455:138:448:146:440:160:414:173:402:182:404:204:397:209:392:205:384:199:385:198:382:212:369:229:366:244:370:255:363:266:345:266:324:253:323:252:332:243:334:234:343:234:349:226:361:219:362:209:358:197:367:184:386:180:383:191:370:193:358:204:352:223:332:216:314:218:313:224:321:232:322:254:311:292:249:298:244:315:239:318:227:330:205:346:191:340:188:330:196:328:194:339:182:349:162:365:142:368:132:365:123:368:101:379:80:365:52:359:47:359:38]
5,359,33,362,36,5,0,0,0.4,0.4,1,8.04455,0.985345,1.26157,7.92665,2.52313,2.52313,1,175.8,122,172,13.3477,24.257,21.7164,[361:34]
14,205,34,210,38,14,0,0,0.849174,1.40593,1.28672,13.1775,1.00655,2.111,13.2638,3.72201,4.78917,1.28672,150.214,76.2143,148.929,6.32657,5.60839,6.54069,[207:35:209:38]
5,278,36,281,39,5,0,0,0.4,0.4,1,8.04455,0.985345,1.26157,7.92665,2.52313,2.52313,1,206.4,141.4,192,11.6379,7.96492,15.6716,[280:37]
22,313,36,319,41,22,0,0,1.06227,2.78278,1.61854,16.9698,0.979806,2.64628,16.6271,4.16011,6.73329,1.61854,150.045,74.9545,146,26.4669,18.6462,15.2256,[319:38:315:38:314:41]
5,147,40,150,43,5,0,0,0.4,0.4,1,8.04455,0.985345,1.26157,7.92665,2.52313,2.52313,1,194,134,190.2,5.09902,12.6491,10.8701,[149:41]
5,198,41,201,44,5,0,0,0.4,0.4,1,8.04455,0.985345,1.26157,7.92665,2.52313,2.52313,1,193.8,136.6,191,2.48193,9.56243,5.65685,[200:42]
38,493,43,500,51,38,7,0,1.91048,5.29589,1.66494,23.4435,0.932124,3.4779,21.8523,5.39073,8.97524,1.66494,150.079,78.8947,146.737,22.8501,20.8273,18.2882,[500:44:495:51:500:50]
1,59,44,60,45,1,0,0,0,0,0,2.68152,1.32198,0.56419,3.54491,0,0,0,183,133,183,0,0,0,[60:45]
5,269,47,272,50,5,0,0,0.4,0.4,1,8.04455,0.985345,1.26157,7.92665,2.52313,2.52313,1,174.2,119.4,173,9.23905,11.02,11.3666,[271:48]
1,11,51,12,52,1,0,0,0,0,0,2.68152,1.32198,0.56419,3.54491,0,0,0,195,142,203,0,0,0,[12:52]
4,0,52,2,55,4,3,0,0.1875,0.5,1.63299,7.25915,0.976673,1.12838,7.08982,1.76601,2.88388,1.63299,197,126,187.25,3.937,4.1833,3.96074,[1:53]
5,205,52,208,55,5,0,0,0.4,0.4,1,8.04455,0.985345,1.26157,7.92665,2.52313,2.52313,1,185.8,160.8,210.4,11.6688,22.4446,14.5959,[207:53]
5,435,52,438,55,5,0,0,0.4,0.4,1,8.04455,0.985345,1.26157,7.92665,2.52313,2.52313,1,192.2,104,177.2,8.42378,12.0333,13.5558,[437:53]
5,8,53,11,56,5,0,0,0.4,0.4,1,8.04455,0.985345,1.26157,7.92665,2.52313,2.52313,1,196.4,144.6,194,3.38231,9.95188,9.38083,[10:54]
5,102,53,105,56,5,0,0,0.4,0.4,1,8.04455,0.985345,1.26157,7.92665,2.52313,2.52313,1,213.2,163.6,209.8,10.008,12.3223,7.83326,[104:54]
1,141,53,142,54,1,0,0,0,0,0,2.68152,1.32198,0.56419,3.54491,0,0,0,195,144,204,0,0,0,[142:54]
